pico_Interval Start,pico_Interval End,pico_Interval Duration
26090942.000,26091242.000,300.000
26091542.000,26091842.000,300.000
26092142.000,26092442.000,300.000
26092742.000,26093042.000,300.000
26093342.000,26093642.000,300.000
26093942.000,26094242.000,300.000
26094542.000,26094842.000,300.000
26095142.000,26095442.000,300.000
26095742.000,26096042.000,300.000
26096342.000,26096642.000,300.000
26096942.000,26097242.000,300.000
26097542.000,26097842.000,300.000
26098142.000,26098442.000,300.000
26098742.000,26099042.000,300.000
26099342.000,26099642.000,300.000
26099942.000,26100242.000,300.000
26100542.000,26100842.000,300.000
26101142.000,26101442.000,300.000
26101742.000,26102042.000,300.000
26102342.000,26102642.000,300.000
26102942.000,26103242.000,300.000
26103542.000,26103842.000,300.000
26104142.000,26104442.000,300.000
26104742.000,26105042.000,300.000
26105342.000,26105642.000,300.000
26105942.000,26106242.000,300.000
26106542.000,26106842.000,300.000
26107142.000,26107442.000,300.000
26107742.000,26108042.000,300.000
26108342.000,26108642.000,300.000
26108942.000,26109242.000,300.000
26109542.000,26109842.000,300.000
26110142.000,26110442.000,300.000
26110742.000,26111042.000,300.000
26111342.000,26111642.000,300.000
26111942.000,26112242.000,300.000
26112542.000,26112842.000,300.000
26113142.000,26113442.000,300.000
26113742.000,26114042.000,300.000
26114342.000,26114642.000,300.000
26114942.000,26115242.000,300.000
26115542.000,26115842.000,300.000
26116142.000,26116442.000,300.000
26116742.000,26117042.000,300.000
26117342.000,26117642.000,300.000
26117942.000,26118242.000,300.000
26118542.000,26118842.000,300.000
26119142.000,26119442.000,300.000
26119742.000,26120044.000,302.000
26120342.000,26120642.000,300.000
26120942.000,26121242.000,300.000
26121542.000,26121842.000,300.000
26122144.000,26122442.000,298.000
26122744.000,26123042.000,298.000
26123342.000,26123642.000,300.000
26123942.000,26124242.000,300.000
26124542.000,26124844.000,302.000
26125142.000,26125444.000,302.000
26125742.000,26126044.000,302.000
26126342.000,26126642.000,300.000
26126944.000,26127242.000,298.000
26127544.000,26127842.000,298.000
26128144.000,26128442.000,298.000
26128744.000,26129042.000,298.000
26129342.000,26129644.000,302.000
26129942.000,26130244.000,302.000
26130542.000,26130844.000,302.000
26131142.000,26131444.000,302.000
26131744.000,26132042.000,298.000
26132344.000,26132642.000,298.000
26132944.000,26133242.000,298.000
26133544.000,26133842.000,298.000
26134144.000,26134444.000,300.000
26134744.000,26135044.000,300.000
26135342.000,26135644.000,302.000
26135942.000,26136244.000,302.000
26136544.000,26136844.000,300.000
26137144.000,26137444.000,300.000
26137744.000,26138042.000,298.000
26138344.000,26138642.000,298.000
26138944.000,26139244.000,300.000
26139544.000,26139844.000,300.000
26140144.000,26140444.000,300.000
26140742.000,26141044.000,302.000
26141344.000,26141644.000,300.000
26141944.000,26142244.000,300.000
26142544.000,26142844.000,300.000
26143144.000,26143444.000,300.000
26143744.000,26144044.000,300.000
26144344.000,26144644.000,300.000
26144944.000,26145244.000,300.000
26145544.000,26145844.000,300.000
26146144.000,26146444.000,300.000
26146744.000,26147044.000,300.000
26147344.000,26147644.000,300.000
26147944.000,26148244.000,300.000
26148544.000,26148844.000,300.000
26149144.000,26149444.000,300.000
26149744.000,26150044.000,300.000
26150344.000,26150644.000,300.000
26150944.000,26151244.000,300.000
26151544.000,26151844.000,300.000
26152144.000,26152444.000,300.000
26152744.000,26153044.000,300.000
26153344.000,26153644.000,300.000
26153944.000,26154244.000,300.000
26154544.000,26154844.000,300.000
26155144.000,26155444.000,300.000
26155744.000,26156044.000,300.000
26156344.000,26156644.000,300.000
26156944.000,26157244.000,300.000
26157544.000,26157844.000,300.000
26158144.000,26158444.000,300.000
26158744.000,26159044.000,300.000
26159344.000,26159644.000,300.000
26159944.000,26160244.000,300.000
26160544.000,26160844.000,300.000
26161144.000,26161444.000,300.000
26161744.000,26162044.000,300.000
26162344.000,26162644.000,300.000
26162944.000,26163244.000,300.000
26163544.000,26163844.000,300.000
26164144.000,26164444.000,300.000
26164744.000,26165044.000,300.000
26165344.000,26165644.000,300.000
26165944.000,26166244.000,300.000
26166544.000,26166844.000,300.000
